deck_area,displacement_proxy,aspect_ratio,draft_to_length,draft_to_width
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
660,2640,4.583333333,0.072727273,0.333333333
2124,8283.6,6.555555556,0.033050847,0.216666667
1494,5976,4.611111111,0.048192771,0.222222222
660,2640,4.583333333,0.072727273,0.333333333
1494,5976,4.611111111,0.048192771,0.222222222
2987,11350.6,3.551724138,0.036893204,0.131034483
952,5236,4.857142857,0.080882353,0.392857143
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
324,356.4,4,0.030555556,0.122222222
1494,5976,4.611111111,0.048192771,0.222222222
1494,5976,4.611111111,0.048192771,0.222222222
1566,8456.4,4.833333333,0.062068966,0.3
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
1566,8456.4,4.833333333,0.062068966,0.3
2987,12545.4,3.551724138,0.040776699,0.144827586
660,2640,4.583333333,0.072727273,0.333333333
952,5236,4.857142857,0.080882353,0.392857143
2124,8283.6,6.555555556,0.033050847,0.216666667
2124,8283.6,6.555555556,0.033050847,0.216666667
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
1566,8456.4,4.833333333,0.062068966,0.3
952,5236,4.857142857,0.080882353,0.392857143
2987,10454.5,3.551724138,0.033980583,0.120689655
952,5236,4.857142857,0.080882353,0.392857143
1566,8456.4,4.833333333,0.062068966,0.3
2987,11350.6,3.551724138,0.036893204,0.131034483
324,356.4,4,0.030555556,0.122222222
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
1566,8456.4,4.833333333,0.062068966,0.3
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,12545.4,3.551724138,0.040776699,0.144827586
952,5236,4.857142857,0.080882353,0.392857143
2987,12545.4,3.551724138,0.040776699,0.144827586
2124,8283.6,6.555555556,0.033050847,0.216666667
2884,11536,3.678571429,0.038834951,0.142857143
660,2640,4.583333333,0.072727273,0.333333333
1566,8456.4,4.833333333,0.062068966,0.3
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
1494,5976,4.611111111,0.048192771,0.222222222
660,2640,4.583333333,0.072727273,0.333333333
952,5236,4.857142857,0.080882353,0.392857143
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
952,5236,4.857142857,0.080882353,0.392857143
2987,11350.6,3.551724138,0.036893204,0.131034483
2124,8283.6,6.555555556,0.033050847,0.216666667
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
324,356.4,4,0.030555556,0.122222222
2987,10454.5,3.551724138,0.033980583,0.120689655
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
2884,11536,3.678571429,0.038834951,0.142857143
2884,11536,3.678571429,0.038834951,0.142857143
1494,5976,4.611111111,0.048192771,0.222222222
1494,5976,4.611111111,0.048192771,0.222222222
324,356.4,4,0.030555556,0.122222222
2987,12545.4,3.551724138,0.040776699,0.144827586
1566,8456.4,4.833333333,0.062068966,0.3
1780,9790,4.45,0.061797753,0.275
2884,11536,3.678571429,0.038834951,0.142857143
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,11350.6,3.551724138,0.036893204,0.131034483
1780,9790,4.45,0.061797753,0.275
324,356.4,4,0.030555556,0.122222222
2987,10454.5,3.551724138,0.033980583,0.120689655
2884,11536,3.678571429,0.038834951,0.142857143
1494,5976,4.611111111,0.048192771,0.222222222
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
1780,9790,4.45,0.061797753,0.275
2987,12545.4,3.551724138,0.040776699,0.144827586
660,2640,4.583333333,0.072727273,0.333333333
1566,8456.4,4.833333333,0.062068966,0.3
1780,9790,4.45,0.061797753,0.275
1566,8456.4,4.833333333,0.062068966,0.3
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
1780,9790,4.45,0.061797753,0.275
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
2884,11536,3.678571429,0.038834951,0.142857143
2987,10454.5,3.551724138,0.033980583,0.120689655
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
1566,8456.4,4.833333333,0.062068966,0.3
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,12545.4,3.551724138,0.040776699,0.144827586
2124,8283.6,6.555555556,0.033050847,0.216666667
1494,5976,4.611111111,0.048192771,0.222222222
1780,9790,4.45,0.061797753,0.275
2987,11350.6,3.551724138,0.036893204,0.131034483
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
324,356.4,4,0.030555556,0.122222222
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
1780,9790,4.45,0.061797753,0.275
2987,11350.6,3.551724138,0.036893204,0.131034483
1780,9790,4.45,0.061797753,0.275
1566,8456.4,4.833333333,0.062068966,0.3
2987,12545.4,3.551724138,0.040776699,0.144827586
952,5236,4.857142857,0.080882353,0.392857143
1494,5976,4.611111111,0.048192771,0.222222222
1780,9790,4.45,0.061797753,0.275
1780,9790,4.45,0.061797753,0.275
2987,12545.4,3.551724138,0.040776699,0.144827586
1494,5976,4.611111111,0.048192771,0.222222222
1780,9790,4.45,0.061797753,0.275
324,356.4,4,0.030555556,0.122222222
952,5236,4.857142857,0.080882353,0.392857143
2884,11536,3.678571429,0.038834951,0.142857143
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,12545.4,3.551724138,0.040776699,0.144827586
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,10454.5,3.551724138,0.033980583,0.120689655
952,5236,4.857142857,0.080882353,0.392857143
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,11350.6,3.551724138,0.036893204,0.131034483
1780,9790,4.45,0.061797753,0.275
2124,8283.6,6.555555556,0.033050847,0.216666667
1494,5976,4.611111111,0.048192771,0.222222222
660,2640,4.583333333,0.072727273,0.333333333
2124,8283.6,6.555555556,0.033050847,0.216666667
660,2640,4.583333333,0.072727273,0.333333333
660,2640,4.583333333,0.072727273,0.333333333
2987,11350.6,3.551724138,0.036893204,0.131034483
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
2987,12545.4,3.551724138,0.040776699,0.144827586
2884,11536,3.678571429,0.038834951,0.142857143
1780,9790,4.45,0.061797753,0.275
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
324,356.4,4,0.030555556,0.122222222
1494,5976,4.611111111,0.048192771,0.222222222
2884,11536,3.678571429,0.038834951,0.142857143
2987,12545.4,3.551724138,0.040776699,0.144827586
2987,12545.4,3.551724138,0.040776699,0.144827586
2987,10454.5,3.551724138,0.033980583,0.120689655
2884,11536,3.678571429,0.038834951,0.142857143
2124,8283.6,6.555555556,0.033050847,0.216666667
2884,11536,3.678571429,0.038834951,0.142857143
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,11350.6,3.551724138,0.036893204,0.131034483
324,356.4,4,0.030555556,0.122222222
324,356.4,4,0.030555556,0.122222222
2987,12545.4,3.551724138,0.040776699,0.144827586
2987,12545.4,3.551724138,0.040776699,0.144827586
660,2640,4.583333333,0.072727273,0.333333333
1494,5976,4.611111111,0.048192771,0.222222222
2987,12545.4,3.551724138,0.040776699,0.144827586
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,12545.4,3.551724138,0.040776699,0.144827586
2987,11350.6,3.551724138,0.036893204,0.131034483
324,356.4,4,0.030555556,0.122222222
2124,8283.6,6.555555556,0.033050847,0.216666667
1566,8456.4,4.833333333,0.062068966,0.3
1780,9790,4.45,0.061797753,0.275
2884,11536,3.678571429,0.038834951,0.142857143
1494,5976,4.611111111,0.048192771,0.222222222
952,5236,4.857142857,0.080882353,0.392857143
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,11350.6,3.551724138,0.036893204,0.131034483
2884,11536,3.678571429,0.038834951,0.142857143
1780,9790,4.45,0.061797753,0.275
1566,8456.4,4.833333333,0.062068966,0.3
660,2640,4.583333333,0.072727273,0.333333333
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,10454.5,3.551724138,0.033980583,0.120689655
2884,11536,3.678571429,0.038834951,0.142857143
1494,5976,4.611111111,0.048192771,0.222222222
324,356.4,4,0.030555556,0.122222222
2987,10454.5,3.551724138,0.033980583,0.120689655
324,356.4,4,0.030555556,0.122222222
1566,8456.4,4.833333333,0.062068966,0.3
1780,9790,4.45,0.061797753,0.275
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
952,5236,4.857142857,0.080882353,0.392857143
2987,10454.5,3.551724138,0.033980583,0.120689655
324,356.4,4,0.030555556,0.122222222
2987,12545.4,3.551724138,0.040776699,0.144827586
2884,11536,3.678571429,0.038834951,0.142857143
2987,11350.6,3.551724138,0.036893204,0.131034483
660,2640,4.583333333,0.072727273,0.333333333
2987,12545.4,3.551724138,0.040776699,0.144827586
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
660,2640,4.583333333,0.072727273,0.333333333
660,2640,4.583333333,0.072727273,0.333333333
324,356.4,4,0.030555556,0.122222222
660,2640,4.583333333,0.072727273,0.333333333
2987,11350.6,3.551724138,0.036893204,0.131034483
324,356.4,4,0.030555556,0.122222222
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
2987,12545.4,3.551724138,0.040776699,0.144827586
2987,12545.4,3.551724138,0.040776699,0.144827586
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
324,356.4,4,0.030555556,0.122222222
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
952,5236,4.857142857,0.080882353,0.392857143
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,10454.5,3.551724138,0.033980583,0.120689655
1780,9790,4.45,0.061797753,0.275
2987,11350.6,3.551724138,0.036893204,0.131034483
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
2987,11350.6,3.551724138,0.036893204,0.131034483
2884,11536,3.678571429,0.038834951,0.142857143
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
324,356.4,4,0.030555556,0.122222222
2124,8283.6,6.555555556,0.033050847,0.216666667
1780,9790,4.45,0.061797753,0.275
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
1566,8456.4,4.833333333,0.062068966,0.3
1780,9790,4.45,0.061797753,0.275
952,5236,4.857142857,0.080882353,0.392857143
2987,11350.6,3.551724138,0.036893204,0.131034483
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,10454.5,3.551724138,0.033980583,0.120689655
1780,9790,4.45,0.061797753,0.275
1494,5976,4.611111111,0.048192771,0.222222222
2884,11536,3.678571429,0.038834951,0.142857143
1566,8456.4,4.833333333,0.062068966,0.3
2987,12545.4,3.551724138,0.040776699,0.144827586
2124,8283.6,6.555555556,0.033050847,0.216666667
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,11350.6,3.551724138,0.036893204,0.131034483
660,2640,4.583333333,0.072727273,0.333333333
2987,11350.6,3.551724138,0.036893204,0.131034483
1566,8456.4,4.833333333,0.062068966,0.3
1780,9790,4.45,0.061797753,0.275
2987,11350.6,3.551724138,0.036893204,0.131034483
1780,9790,4.45,0.061797753,0.275
2884,11536,3.678571429,0.038834951,0.142857143
1566,8456.4,4.833333333,0.062068966,0.3
1494,5976,4.611111111,0.048192771,0.222222222
324,356.4,4,0.030555556,0.122222222
2884,11536,3.678571429,0.038834951,0.142857143
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,10454.5,3.551724138,0.033980583,0.120689655
324,356.4,4,0.030555556,0.122222222
2884,11536,3.678571429,0.038834951,0.142857143
1780,9790,4.45,0.061797753,0.275
660,2640,4.583333333,0.072727273,0.333333333
2987,11350.6,3.551724138,0.036893204,0.131034483
1494,5976,4.611111111,0.048192771,0.222222222
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
2987,11350.6,3.551724138,0.036893204,0.131034483
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
952,5236,4.857142857,0.080882353,0.392857143
2124,8283.6,6.555555556,0.033050847,0.216666667
2884,11536,3.678571429,0.038834951,0.142857143
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,12545.4,3.551724138,0.040776699,0.144827586
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,12545.4,3.551724138,0.040776699,0.144827586
1780,9790,4.45,0.061797753,0.275
1494,5976,4.611111111,0.048192771,0.222222222
324,356.4,4,0.030555556,0.122222222
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
1780,9790,4.45,0.061797753,0.275
324,356.4,4,0.030555556,0.122222222
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,11350.6,3.551724138,0.036893204,0.131034483
952,5236,4.857142857,0.080882353,0.392857143
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
2987,11350.6,3.551724138,0.036893204,0.131034483
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
1780,9790,4.45,0.061797753,0.275
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,11350.6,3.551724138,0.036893204,0.131034483
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
952,5236,4.857142857,0.080882353,0.392857143
324,356.4,4,0.030555556,0.122222222
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,11350.6,3.551724138,0.036893204,0.131034483
1566,8456.4,4.833333333,0.062068966,0.3
1566,8456.4,4.833333333,0.062068966,0.3
2987,12545.4,3.551724138,0.040776699,0.144827586
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,12545.4,3.551724138,0.040776699,0.144827586
2124,8283.6,6.555555556,0.033050847,0.216666667
952,5236,4.857142857,0.080882353,0.392857143
952,5236,4.857142857,0.080882353,0.392857143
1494,5976,4.611111111,0.048192771,0.222222222
324,356.4,4,0.030555556,0.122222222
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
1566,8456.4,4.833333333,0.062068966,0.3
1494,5976,4.611111111,0.048192771,0.222222222
1566,8456.4,4.833333333,0.062068966,0.3
1566,8456.4,4.833333333,0.062068966,0.3
660,2640,4.583333333,0.072727273,0.333333333
952,5236,4.857142857,0.080882353,0.392857143
324,356.4,4,0.030555556,0.122222222
2884,11536,3.678571429,0.038834951,0.142857143
952,5236,4.857142857,0.080882353,0.392857143
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
952,5236,4.857142857,0.080882353,0.392857143
660,2640,4.583333333,0.072727273,0.333333333
952,5236,4.857142857,0.080882353,0.392857143
660,2640,4.583333333,0.072727273,0.333333333
2124,8283.6,6.555555556,0.033050847,0.216666667
2884,11536,3.678571429,0.038834951,0.142857143
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,12545.4,3.551724138,0.040776699,0.144827586
952,5236,4.857142857,0.080882353,0.392857143
2124,8283.6,6.555555556,0.033050847,0.216666667
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
324,356.4,4,0.030555556,0.122222222
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,12545.4,3.551724138,0.040776699,0.144827586
1566,8456.4,4.833333333,0.062068966,0.3
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,12545.4,3.551724138,0.040776699,0.144827586
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
1780,9790,4.45,0.061797753,0.275
2987,12545.4,3.551724138,0.040776699,0.144827586
952,5236,4.857142857,0.080882353,0.392857143
1780,9790,4.45,0.061797753,0.275
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
1780,9790,4.45,0.061797753,0.275
324,356.4,4,0.030555556,0.122222222
2987,12545.4,3.551724138,0.040776699,0.144827586
1566,8456.4,4.833333333,0.062068966,0.3
324,356.4,4,0.030555556,0.122222222
1494,5976,4.611111111,0.048192771,0.222222222
2884,11536,3.678571429,0.038834951,0.142857143
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
2987,10454.5,3.551724138,0.033980583,0.120689655
952,5236,4.857142857,0.080882353,0.392857143
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
660,2640,4.583333333,0.072727273,0.333333333
2987,10454.5,3.551724138,0.033980583,0.120689655
660,2640,4.583333333,0.072727273,0.333333333
1780,9790,4.45,0.061797753,0.275
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,10454.5,3.551724138,0.033980583,0.120689655
1494,5976,4.611111111,0.048192771,0.222222222
2987,12545.4,3.551724138,0.040776699,0.144827586
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,12545.4,3.551724138,0.040776699,0.144827586
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,11350.6,3.551724138,0.036893204,0.131034483
2884,11536,3.678571429,0.038834951,0.142857143
1494,5976,4.611111111,0.048192771,0.222222222
2124,8283.6,6.555555556,0.033050847,0.216666667
1780,9790,4.45,0.061797753,0.275
2987,10454.5,3.551724138,0.033980583,0.120689655
2124,8283.6,6.555555556,0.033050847,0.216666667
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,12545.4,3.551724138,0.040776699,0.144827586
324,356.4,4,0.030555556,0.122222222
324,356.4,4,0.030555556,0.122222222
1780,9790,4.45,0.061797753,0.275
1566,8456.4,4.833333333,0.062068966,0.3
2987,10454.5,3.551724138,0.033980583,0.120689655
2987,11350.6,3.551724138,0.036893204,0.131034483
2987,11350.6,3.551724138,0.036893204,0.131034483
1494,5976,4.611111111,0.048192771,0.222222222
1780,9790,4.45,0.061797753,0.275
1494,5976,4.611111111,0.048192771,0.222222222
1566,8456.4,4.833333333,0.062068966,0.3
660,2640,4.583333333,0.072727273,0.333333333
1566,8456.4,4.833333333,0.062068966,0.3
952,5236,4.857142857,0.080882353,0.392857143
324,356.4,4,0.030555556,0.122222222
952,5236,4.857142857,0.080882353,0.392857143
1566,8456.4,4.833333333,0.062068966,0.3
